correct,generate
Two blond women sit outside as people walk by wearing casual clothing and some wearing bookbags.,"on a sunny day, people are present, many of them talking and wearing casual clothes, including a man with blond - hair and a woman wearing a gray shirt with a yellow shirt standing on her back with black pants. [SEP]"
A small child in water with a splash encircling him while the white clouds float over the mountains.,a boy is standing in the water and is staring at the sky. [SEP]
Three people sit at an outdoor table in front of a building painted like the Union Jack.,people are sitting at a picnic table and enjoying the view of a town with red buildings and a bridge. [SEP]
Some young men looking over the edge of a bridge on a sunny day.,a crowd gathers along the handrail of a boardwalk to watch young men leap into the air on the beach of the ocean. [SEP]
A woman wearing a short-sleeved striped shirt and carrying a green shopping bag examines fish in an open air market while a vendor in a white apron over a gray t-shirt hands her an empty plastic bag.,people buying fish at a market. [SEP]
A female harp player peers through the middle of her instrument while performing.,a woman playing a harp. [SEP]
A security officer with a tiny face and big glasses leans on a metal gate looking into the camera.,the security guard is guarding the building. [SEP]
A girl wearing a black t-shirt is holding a small pizza in a kitchen setting.,a young woman wearing a big watch has a pizza in her hands. [SEP]
"A shirtless man is fishing, standing on large rocks that rest next to a boardwalk with a tall lamp post in the forefront.",a boy is fishing off a pier and walking in the water. [SEP]
A young girl floats on her back in water and peers over her life jacket.,"in pool surrounded by water, a woman gets her hand splashed by water. [SEP]"
A man in a military-type uniform is standing in the street listening to another man who has a piece of paper in his hands.,"two men riding a bicycle down a street, one is holding a camera. [SEP]"
A man in glasses and an Asian woman are seated across from each other in a subway train.,a woman in a mirror to the left of a man to take a picture of another man. [SEP]
A brown-haired child in green shoes swings on a swing in a park near the woods.,a woman relaxing by a fire. [SEP]
A man in a red shirt and blue pants is going into a building while a dog watches him.,a man is standing outside of a small white dog. [SEP]
Two male friends in swimming trunks jump on the beach while people in the background lay in the sand.,"two men at the beach, one in the air, the other in the air. [SEP]"
A toddler grasping the handle of a tool to stir food in a bowl along with another person whose arms are seen holding the bowl and tool.,a young girl is mixing something in her bowl. [SEP]
"A father and daughter holding a young tree upright, ready to be planted, as the son stands to their side wielding a shovel.",a man who has just been out of a tree and is working on the road. [SEP]
A man wearing a black sweater cooks food in a pan while standing in a cluttered kitchen.,a man wearing a dark jacket is cooking in a large pot. [SEP]
"An older gentleman, dressed in jeans and a long-sleeved shirt, tosses a small red ball on the beach.",a man playing with his dog on the beach. [SEP]
Many people are walking along a sidewalk with a variety of little shops.,a street scene in japan showing a storefront. [SEP]
A wakeboarder performs a flip while being towed at high speed.,a man upside down while attached to some bungee cords. [SEP]
Four police officers are swallowed up by the large crowd of people on the street.,people are crowded together on a street. [SEP]
A man wearing bathing trunks is parasailing in the water.,a shirtless man is hanging off a rope and being pulled by a boat. [SEP]
A woman's lower body can be seen as she wears blue jeans and walks in front of a large sign depicting another woman wearing a black top and sunglasses.,a woman wearing rolled up jeans and a black shirt is walking past a bus carrying a shopping bag. [SEP]
"A young man wearing blue jeans and a t-shirt sits in the grass, with a ball in the air.",a man in a field with people playing ball. [SEP]
Red white and blue SUV patrolling the beach and shoreline on a cloudy day while seagulls walk in the sand.,a car is parked on the beach with birds who have gathered around. [SEP]
Two young men dressed in black stand next to each other looking at something.,two young men wearing black are looking to the left while standing in a crowded place. [SEP]
"A crowd is watching 2 shirtless men, one in yellow pants and one in black shorts perfom.",a man in yellow shorts is standing on a street near a crowd who is holding up his hand. [SEP]
Two men wearing hats and holding canes are standing silhouetted against a large body of water with sunlight reflecting off the water and a tree to the side.,two guys fishing in the sunset. [SEP]
"Three people dressed in blue, white and black leotards are being held up by the hands of a set of two people each on the ground dressed in the same outfit as people look on.",someone is standing on three little chairs. [SEP]
"A young boy is looking at a checkers board with one fist leaning against his head as a partially visible adult sits across the table from him, in a room full of people sitting in chairs around tables.",a girl plays a game of checkers at the restaurant. [SEP]
"In foreground, a woman in pink jeans is helping a child in a heart t-shirt to skate, while cyclists and others walk in background with palm trees.",people are walking on the street near the ocean. [SEP]
A man sits on a bench holding his dog and looking at the water.,a man is sitting on a bench with his eyes closed and his hand up his face. [SEP]
"Two boys wearing red jackets are digging shovels into the dirt, the smaller boy in the yellow boots has a mohawk.",a boy is playing on the playground. [SEP]
Woman dressed in blue sitting on a bench with a cane next to her looking through her purse with a stretch limo behind her with a man and a woman walking in opposite directions from one another.,a woman sits on a chair on the sidewalk near a street where various people walk. [SEP]
Light brown dog running towards something at the beach.,a tan dog plays as he walks through the sand. [SEP]
"An Asian woman wearing a Asian dress sitting among a group of cloths, with a woven basket on her lap.",a woman in a pink jacket sits on a chair and holds a basket. [SEP]
A man in a blue and white t-shirt is grilling outdoors.,the man is grilling something outside at night. [SEP]
Woman singing with a microphone next to a person playing guitar.,a woman is singing into a microphone while a man plays the guitar at a club. [SEP]
A girl is playing an electric guitar in front of an amplifier.,a band plays a rock show as lights shine upon them. [SEP]
A woman in a green dress sitting in a broken green and yellow chair.,a woman sits on a chair outside reading a book. [SEP]
Three men and two women stand facing the ocean from the shore on a sunny day.,a group of people are standing on the beach. [SEP]
A girl is playing the violin in the street while her band mate on the guitar is talking on her cellphone with a confused look.,a man is playing the guitar while another woman watches. [SEP]
A young girl with goggles strapped to her forehead enjoys the cool pool water.,a young girl plays in the water of a shallow swimming pool. [SEP]
Some children are playing tug-of-war with a rope while an adult assists.,large group of young kids play with a stick in a park. [SEP]
"Three people dancing acrobatically in a subway station, with one girl in a skirt doing a cartwheel over another person bending over.",the girl is smoking a cigarette and laughing. [SEP]
A brown dog walks in the grass with its tongue hanging out.,large brown dog jumps over red hurdle [SEP]
Two men sitting in front of a building and a field of grass in front of them.,people are taking pictures. [SEP]
"Several people, including a shirtless man and a woman in purple shorts which say ""P.I.N.K."" on the back, are walking through a crowded outdoor area.",people shopping around a storefront in a foreign city. [SEP]
Two boys try to attach fruits to a bicycle on a dirt road.,two indian men are selling fresh fruit in the street. [SEP]
An African American man with a black hat and black tank top plays the drums on some buckets for donations.,a man sits on the floor behind a garbage can. [SEP]
A girl is outside painting a picture of a lady on the side of the wall using chalk,a woman is drawing on the side of a wall. [SEP]
Two teammates from the USA team are jumping in the air to give high-fives while two teammates watch.,a group of women in red and white uniforms are playing volleyball. [SEP]
A man with long hair pulled into a ponytail and thick framed black glasses stands at a stove stirring a pot of boiling water.,a man wearing a white shirt is cooking food in a kitchen. [SEP]
A young man is wakeboarding on a body of water.,a man is wakeboarding in a lake [SEP]
Several people walking past a food cart on a city street.,people are passing by a cart holding drinks. [SEP]
A group of spectators sitting in lawn chairs in the street facing a building and drinking beer.,people are sitting on the sidewalk of a city street. [SEP]
A blond woman pours a glass of wine in a dim restaurant.,a woman is serving some women at a restaurant. [SEP]
A little boy is wearing a blue and white shirt while holding a toy animal that is either a crocodile or an alligator.,"a small child wearing a shirt that says "" boy is posing with a toy crocodile. "" [SEP]"
A large woman with long pink hair dressed in black is laying on a tree trunk talking to a man who is crouched down next to her.,someone sits on a bench with a red - haired woman. [SEP]
A sushi restaurant with a man cooking while in the background is a man and young boy sitting at a table.,a cook steps back as flames leap from his hands. [SEP]
A girl leaps through the air while running on the riverbank.,the man is jumping over a rock in the water. [SEP]
A man waring a polo shirt fixes a ticket machine while persons line up at an adjoining machine.,a woman fixing something in front of a laundromat. [SEP]
An old man with arms outstretched sits against a wooden wall between a woman and another man.,the man has his hand raised to make a face. [SEP]
"A young boy wearing a white tunic, white pants, and a yellow belt is standing on his left leg with his right leg extended in a karate pose.",a child kicking in the style of martial arts. [SEP]
Three construction workers are digging a whole next to a wall in a field.,two men are working on a yellow truck. [SEP]
A woman takes a picture of a baby wearing a pink hat while a man carries her.,the man in the red hat is holding a baby. [SEP]
"A number of people are sitting in blue chairs in a room, looking at computer screens while wearing earphones.",several people are sitting in computers at a crowded room. [SEP]
"A young boy, playing soccer, is wearing a green jersey and black shorts and has his face buried in his hands.",the boy is carrying a football with a grassy field in the background. [SEP]
A woman with a black shirt and tan apron is standing behind a counter in a restaurant.,a woman in a black shirt is posing in a bar. [SEP]
A construction worker is driving heavy equipment at a work site.,construction equipment at work. [SEP]
"A softball player dressed in a maroon and gold uniform, at home plate with a catcher and umpire, prepares to run after hitting the ball.",a woman in a softball game is running along a fence. [SEP]
A man wearing blue coveralls is handing a tool to another person.,a man wearing a gray work uniform is working on a blue object. [SEP]
Climbers with hiking boots and blue helmets ascend a snow covered mountain.,a group of people are taking a walk down a snowy mountain. [SEP]
A mountaineer about to descend down a mountain with a blue helmet on.,two people are trying to climb a cliff. [SEP]
"A man in long pants does a handstand on a large, circular object in the evening.","a man holds a big sign reading "" cool cats "" is standing on the sidewalk under a city light. [SEP]"
A child sitting at a restaurant table holding a paper mask against his face.,a boy is eating a restaurant. [SEP]
A reddish brown dog walking in water carrying a stick in his mouth.,a gray dog walks through shallow water. [SEP]
"Two children wearing hats are standing on the shoreline, and a woman is holding one child by the arm while the other is fishing.",a father and his son are playing by the rocks. [SEP]
A young child walks down a gravel path lined with a row of red outdoor chairs.,a long - haired child is walking down a path beside red chairs. [SEP]
A girl sits on a decorated bike with a younger boy while another girl takes a picture.,a crowd of people is watching two people ridding a colorfully decorated bicycle. [SEP]
Black dog paddles through the water with a bright ball in its mouth.,a dog black dog with a colorful ball in its mouth is swimming. [SEP]
A man in a blue shirt is kicking a yellow object while other students are practicing karate in the background.,a man in a white t - shirt and jeans is kicking a yellow boxing bag. [SEP]
A Chinese + man and younger boy in some type of worship place worshiping.,"a man is writing in multiple places of worship, many of them talking and wearing head coverings. [SEP]"
A young man with a denim jacket and writing on his hand smiles in front of a bookcase full of videos.,a young man wearing a yellow shirt and blue jeans looks at the camera and is standing in front of a book store. [SEP]
"Two men are sitting in a canoe in the middle of a lake, watching the sunset in the background.",two people are standing on a boat in the water as the sun sets over the horizon. [SEP]
"People are standing on a crowded subway, and the platform outside is visible through the window.",an asian man in a white t - shirt looks out the window of a subway car which is parked in a parking lot. [SEP]
"Man in black pants and vest balances between to pillars, holding two flaming torches in his right hand.",a man is jumping through fire near a building. [SEP]
Two brown dogs run across a large snowy yard.,a brown dog is running across snow. [SEP]
A group of musicians are performing on a stage in front of a crowd.,a guitarist performs on stage with a guitarist and a drummer behind him. [SEP]
"A woman holds the hand of a wide-eyed baby, in a christmas themed outfit.",a baby dressed in red is playing with a necklace. [SEP]
An eastern Indian man with a mustache and glasses is sitting by a computer.,a young man with black hair and a red t - shirt is sitting in front of a computer. [SEP]
"A woman wearing a black and white shirt, glasses and has a ring on her right hand, is smiling, while sitting on what appears to be a sofa with a blanket throw on the back of it.",a woman laughing and playing the game. [SEP]
A man in a brown jacket holding a red bag is speaking to another man with a white beard and green cap.,four people are dancing in a courtyard. [SEP]
Four white dogs are running and jumping with masks over their mouth.,the white dog is jumping over a red fence. [SEP]
A woman with short black hair in a blue t-shirt holds a baby in pink clothes with a pacifier.,the woman is holding a child and is pointing at it. [SEP]
Two people are seated in striped outdoor chairs which are placed in a body of water and one man is holding a large fishing pole.,two people are sitting in chairs in the water and are fishing. [SEP]
"A Indian lady sitting making a clothing piece with a young child and older lady looking upon her, young child in the background playing.",a woman sits on a wooden stool in a village. [SEP]
A little boy is standing above a structure and watching the other boys play a game.,several people are standing behind a gate. [SEP]
A person in a black jacket is grabbing a boy's shoulder to stop him from backing into the road while a silver Mini is driving by.,a man with a black jacket and jeans taking a picture of a spaceman in the city. [SEP]
A woman stands in a field surrounded by three attentive gray dogs.,two women work on their rural farm near the mountains while their two dogs watch nearby. [SEP]
A boy is hanging out of the window of a yellow taxi.,a man with a yellow taxi waiting to go. [SEP]
"A man wearing jeans and boots is jumping into the air with a white sandy hill below him, and a blue cloudless sky behind him.",a man in the air at a beach. [SEP]
A boy wearing an orange doritos shirt looks like he's about to jump off of a piece of furniture.,a blond boy in a red and black uniform is trying to climb up a wall with his hands. [SEP]
A man in a yellow coat is on a blue industrial crane working on the side of a tall building.,a man is being suspended in the air next to the building. [SEP]
A group of young people are listening to a man in a blue shirt telling them about Brazil.,a group of people in a room in front of a bunch of kids sitting and playing games. [SEP]
A bunch of beer pull tabs at a bar with Christmas lights on the ceiling.,a person is playing a guitar in a bar. [SEP]
A man is repelling down the side of a mountain over the ocean.,a man is hanging by a line off a cliff above water. [SEP]
A man dressed in all black is wearing shades and standing in snow and there is a red vehicle in back of him.,a man and child are sitting in a snow covered vehicle. [SEP]
Little white dog wearing a leash jumping after a red ball.,a dog running through a wooded area throws a stick in the air. [SEP]
"A female police officer, wearing an officer's hat and sunglasses, stands in uniform in front of a window-lined street block.",a female security officer with sunglasses on. [SEP]
"A lady pushes a stroller, behind a child, riding a tricycle, while another child walks along side.",a is playing a game in the tree. [SEP]
A man in a green hard hat and yellow vest is looking down.,a man wearing a hard hat is working [SEP]
A young girl dancing in her socks on a wooden floor strewn with pink balloons.,a blond girl plays balloon hat. [SEP]
A large tan bulldog walking along the rocky shore of a small stream.,a dog takes a drink as he walks through the water. [SEP]
A chinese man wearing glasses sitting on a chair holding a green beverage.,a man is sitting on a chair on the street playing a game. [SEP]
A man in a red shirt is smiling with food in front of him while seated at a table on an outside deck.,the man in the white t - shirt is eating at a cafe. [SEP]
Woman in a white dress standing with a tennis racket and two people in green behind her.,a young blond woman is wearing a white tennis dress and a yellow tennis shoes as she holds a tennis racket. [SEP]
"A little boy holding a yellow, plastic shovel, crouches in the sand.",small boy sits on a rock and plays with a yellow plastic shovel. [SEP]
"A woman in a pink coat with the fur lined hood up, with black pants and brown shoes sitting on a bench near a pop machine with a striped yellow bag by her side.",a woman sharing her ice cream cart at a train station. [SEP]
A man wearing a white shirt is looking out a window of a metal construction.,a man is sitting on a train. [SEP]
A young woman with blond-hair is holding a white statuette of a Japanese geisha woman.,a red - haired woman holds a small plastic doll. [SEP]
Six shirtless children are playing in natural water and splashing around.,"a group of people, mostly people are wearing white, are walking through water. [SEP]"
"A man and a woman ride bicycles away from the camera as they traverse a remote area toward undulating hills, with blue sky in the background.",two people are riding along a rocky ledge on a bicycle. [SEP]
A girl jumping rope on a sidewalk with a parking garage to the left.,some little girls are running down the sidewalk. [SEP]
A man in an orange shirt and a blue hard hat smiles.,man with helmet and glasses in air. [SEP]
"A small boy plays with plastic blocks, cars, and animals with an adult watching closely.",a young boy is playing with his toy story figurines. [SEP]
A mother and two children opening gifts on a Christmas morning.,a girl is doing a costume and is sitting on the floor with a boy and his sister who is trying to get home from christmas party. [SEP]
A woman with a blue hat and blue and red jacket setting up a camera on a tripod.,a woman wearing two piece jackets is taking pictures while standing in front of a crowd. [SEP]
"A little girl in cuffed jeans, a long-sleeve pink shirt and no shoes is sleeping on the sofa.",the boy is asleep on the couch. [SEP]
A dog with a red collar runs in a forest in the middle of winter.,a brown dog is running up a hill of dirt. [SEP]
A dog jumps by a tree while another lays on the ground.,a dog is very green and there is a tree outside. [SEP]
A dog with a black and brown marbled coat scowls at the camera while a young woman in a black suit walks in the background.,a dog is jumping down a staircase. [SEP]
An Asian man in a green uniform shirt with a white speckled headband is using a torch to cook food in a restaurant.,the man in the green shirt is serving food. [SEP]
A man dressed in black leather and a cowboy hat is walking around a Renaissance Festival.,there is a man dressed as a judge pretending to hang out of a tent. [SEP]
A white dog with a yellow toy in his mouth runs through a nature trail towards the camera.,a dog running in a backyard with a yellow toy in its mouth. [SEP]
A dog wearing a cape is running through the snow.,the dog is running in the snow with a stick in its mouth. [SEP]
A small black and white dog running on the beach with several people in the background,two dogs are playing on the beach. [SEP]
A woman and little boy are smiling and the child is tasting something on a long wooden spoon.,a woman and a little boy are smiling and the child is tasting something on a long pole. [SEP]
A man with a bright reflective vest and headphones is standing next to a man with a suit and scarf.,a man wearing headphones is standing in front of a group of people who are wearing orange vests. [SEP]
A group of people examine a boat with an orange flag that is sitting on sand next to a body of water.,several people are on the beach carrying two men in the water and walking towards a boat. [SEP]
A man wearing a baseball hat and jacket reads while sitting in an Italian restaurant.,a man wearing a black jacket reading a newspaper. [SEP]
A well-dressed man plays a grand piano during an art exhibit.,a man playing music on stage. [SEP]
Little boy wearing a dark blue shirt and yellow shorts playing with a soccer ball in grass.,a little boy is trying to kick a yellow ball. [SEP]
The man is standing on a stone stump on top of a hill with his arms outstretched.,a man standing on top of a rock. [SEP]
The dog tries to bite the water coming out of the sprinkler.,a dog running through a sprinkler and getting its eyes on the ground. [SEP]
A female couple lean on each other in the outdoors after a good swim.,two females with their backs to the camera. [SEP]
"A man is tilting his head back in a barber's chair, while his beard is lathered up before a shave.",a man with dark hair and a white t - shirt is holding up the newspaper while sitting in a room with other people. [SEP]
A child is walking through a puddle wearing green sandals,a child is running through a puddle wearing green sandals [SEP]
A man in blue overalls and red shirt holding a chainsaw.,a man is using a table saw in a workshop covered in wood dust. [SEP]
A man in a checked shirt is sitting at a table looking back at a group of people behind him.,a man is eating alone at a table near another table where a man is sitting. [SEP]
"A small boy dressed in a black sweatshirt with a logo on it, holds a red bat in front of blue stadium seats.",a little boy is holding a red and blue bat at a baseball game. [SEP]
A dark-haired bearded man in glasses and a Hawaiian shirt is sitting on the grass.,"a man in a tan shirt and blue jeans is sitting outside, smoking a cigarette. [SEP]"
Greyhounds racing chasing a mechanical rabbit around the track.,several dogs are racing cars on a dirt track [SEP]
"A shirtless man with tattoos, glasses and a baseball hat, touching a spotlight that is on.",this person is attached to some sort of sound stage while sitting on the stage. [SEP]
A dog wearing a yellow collar is bearing his teeth at another dog that is sitting by a tree.,the dog is running through the trees at night. [SEP]
People are standing around inside and one of them is wearing a fedora and a striped zip hoodie,"a young man in a striped sweater, jeans and a black backpack is standing in a crowd of people talking. [SEP]"
The brown dog with the white chest is carrying a ball.,a dog trots across the ground with a large stick in its mouth. [SEP]
An silver-haired man stands on the cobblestones of an open-air square playing the accordion.,a man is playing the accordion on a cobbled city street. [SEP]
A girl sitting outside a coffee house on a maroon colored bench with another girl watching her.,a woman is sitting on a bench in front of a restaurant. [SEP]
"A man, possible a street musician, plays both a pan pipe and a small stringed instrument in an outdoor setting, while a bicycle leans against ivy in the background.",a man with a striped shirt is sitting on a bench playing a guitar. [SEP]
"Two boys holding a green rope and competing against each other on a balancing rod, while others look on.",a group of children play on a game course while adults look on. [SEP]
The motorcycle is being ridden on a track whilst pulling a wheelie.,a motorcycle rider is doing a trick in the air with his bike. [SEP]
A girl has placed a purple cloth over her face while she lies on wooden structure.,a young girl with a bandanna on her head sits on the boardwalk and cries. [SEP]
A woman wearing sunglasses sits on a red bench in front of a yellow building.,a woman sitting on a bench. [SEP]
A black dog is slowly crossing a fallen log that is outstretched over a stream of water.,a man in a striped shirt stands on a log in the middle of a lake and throws something from his mouth. [SEP]
Small child in white shirt and print shorts with hands over their head standing on object.,a child wearing a gray shirt and blue pants is standing on a short brick outside near a street lamp post. [SEP]
A small crowd gathered at a local seaman monument holding umbrellas.,a street scene of people with many talking and wearing costumes. [SEP]
"A man uses a bicycle to transport a sight that says ""Lovely,"" while another man on a motor scooter drives by.",a man is riding a bicycle down the street next to a sign. [SEP]
A person in a green jacket throws a stick into the water for a black and white dog to fetch whilst a brown and white dog looks on.,a man tosses a log in the air by the side of the lake. [SEP]
"A group of people sit outside under a white shade tent, sitting in green lawn chairs, playing instruments with a view of a body of water behind them.",people sit on the porch of a green tent. [SEP]
A crowd of people walking down the middle of a city street.,a crowd of people are watching a man take a picture. [SEP]
A woman in a white button up shirt is holding a rope and smiling.,"a woman with white shirt, standing at a green chair, holding up a banner. [SEP]"
"At an outdoor event, one man is speaking into a megaphone while another man is holding the megaphone.",two young women in blue shirts are outside with a bullhorn. [SEP]
A man watches eagerly as his black dog leaps into the water.,a dog is jumping through the air to get something thrown through the air. [SEP]
"A saddle bronc rider gets lifted out of the saddle, but keeps his grip during his ride.",a cowboy riding a bucking horse. [SEP]
A man in an orange vest and yellow hard hat looks on as a yellow vehicle lays track.,two mechanics are working on train tracks with machinery. [SEP]
A man in an orange vest works near a blue-draped fence and black and orange wires.,a construction worker in a orange vest is riding in a piece of equipment. [SEP]
Two men wearing helmets and orange suits are having a conversation at a construction site.,two construction workers wearing orange vests [SEP]
Two men are walking up a ramp while a third walks up a separate ramp in the opposite direction.,two men are walking in a dark room and a lot of graffiti is on the inside. [SEP]
"An Asian bride, wearing a white wedding dress, is holding a bouquet of flowers while her bridesmaids are standing in the background.",a bride stands on a boardwalk to get into her wedding dress. [SEP]
A man with a rolling stones t-shirt on with beige pants sitting in a highchair adjusting a black guitar,a bald guy with a black shirt and jeans playing guitar. [SEP]
A group of boys in swim gear is playing in a field surrounded by trees.,the two boys are playing outdoors. [SEP]
Construction workers in orange and yellow vests with jeans work on a street.,two women are working in construction work. [SEP]
A group of young adults taking a break from boating.,people are taking their clothes off of a red boat. [SEP]
A group of young girls all dressed in blue shirts with black pants are standing around in a music room.,a musical group in blue shirts are playing their instruments. [SEP]
A group of young people actively jumping into the air with arms up and outward in different directions with legs bent and extended to positions of motion.,a group of people are dancing around with no shoes. [SEP]
A man in an orange kayak and a man in a blue kayak paddle around a beautiful lake.,people are rowing a boat through pond. [SEP]
Two people wearing all white are painting a brick wall.,two people are working on a fire hydrant. [SEP]
A young woman in a red sweater and jeans sits on the ledge of a red gazebo on a sunny day.,a woman sitting in a harness and wearing jeans. [SEP]
Two performers putting on a mock fight for an audience that is watching attentively.,two people putting on a show at the renaissance fair. [SEP]
A man dressed in military uniform sits down and looks through some papers.,a man in the us army is sitting on the floor and reading a newspaper. [SEP]
The man in the yellow jacket is cooking over an open fire as the little boy watches.,a man at the fire holding up a small girl as he looks on. [SEP]
A man in a red shirt and jeans and a toddler on a rock near the water.,a father and his son are playing by the water. [SEP]
"A woman on a boat named ""El Corazon"" drops black weights into the water.",a girl is looking down on the deck of a boat. [SEP]
A person sitting on a ledge using a machine to look out over the city.,a woman on the roof of a building and a man wearing shorts and a shirt. [SEP]
A barefooted little girl in a pink dress is mid-flight in a jump.,a little girl wearing a dress is jumping over a chair. [SEP]
People gather under a white tent while some sit at tables.,people attending an event in a park. [SEP]
A young Asian man with long black hair in a t-shirt and shorts sits in front of a large musical drum.,a woman plays a drum and sings. [SEP]
"A squatting couple outdoors, engaged with a kneeling street performer or vendor reading from a book of manga.","a couple of people are sitting on the ground, and are painting a picture of a tree. [SEP]"
A girl in a yellow bathing suit laughs and points at a girl in an orange suit while another girls looks on.,the girls are her haircut and her guys are doing her haircuts. [SEP]
A dog jumping over high jump poles at show.,a sheltie dog is running through an obstacle course. [SEP]
A dirty tan dog rolling in the dirt and looking right at the camera.,the tan dog is laying on the ground and the black dog is laying on the ground. [SEP]
Two brown and white dogs play roughly in a clearing of a wooded area.,two dogs playing. [SEP]
"A man in a chef's uniform holding a large skillet over a stove, with fire coming out of the skillet.",a man in a white shirt is cooking on a large cooking surface. [SEP]
An older man dressed in blue historical clothing is ringing a bell in his right hand.,a man dressed as a pirate in public. [SEP]
"A young man sitting on a rock above a body of water, fishing rod in hand.",man sitting on rocks in ocean. [SEP]
The brown dog has a hold of the other dogs cheek with its teeth.,a dog is jumping and playing with another dog. [SEP]
A man in a hat and a man in glasses talk on the side of the road as a man walks past them.,two men are having a conversation while two other men walk by. [SEP]
A Chinese man inside a restaurant waiting for people to enter.,a man is walking through a run - down restaurant. [SEP]
The school bus is unloading children near the parked cars.,the cars are parked by the building where the group of people are walking and talking. [SEP]
Two blond-haired women wear matching clothing and love beer.,the blond girl is wearing a white t - shirt and blue jeans and carrying a green purse. [SEP]
"A child appears to be in a canoe wearing a life jacket on the lake, clear blue water and blue sky.",the male kayaker is moving through the rough water. [SEP]
Several people walking at the park with a little girl in green shirt holding on to an adult wearing a white shirt.,several people are walking down a paved path in a park. [SEP]
Three people standing near each other wearing coats with other people in the background,a group of people are waiting outside. [SEP]
A young boy points out something interesting to the girl holding him in her lap near the front door.,a woman sits on the porch of her house next to the ocean. [SEP]
"Three people, wearing dark clothes, get together for a close hug, outside of a cafe.",a guy walks beside a tree at night. [SEP]
"In rural outdoors, blond woman sits on roof of yellow BMW vehicle, two people inside.",a girl is sitting on a six wheeler. [SEP]
A light dog climbing a wall of dirt.,the dog is running up a hill. [SEP]
Young boy smiles as an extremely large kelly green fly perches on his nose.,a young boy staring at what appears to be a grasshopper as he holds it in his right hand by its mouth. [SEP]
