correct,generate
this is a very dark picture of a room with a shelf,"a dimly lit shows a room with many tables and chairs, and a person ridding on a green skateboard. [SEP]"
a cluttered room with a table and shelf on the wall.,"a dimly lit shows a room with many tables and chairs, and a person ridding on a green skateboard. [SEP]"
"A view of a messy room, with shelves on the wall.","a dimly lit shows a room with many tables and chairs, and a person ridding on a green skateboard. [SEP]"
A dark and cluttered storage area with wood walls.,"a dimly lit shows a room with many tables and chairs, and a person ridding on a green skateboard. [SEP]"
A dim lit room consisting of many objects put together. ,"a dimly lit shows a room with many tables and chairs, and a person ridding on a green skateboard. [SEP]"
A kitchen filled with black appliances and lots of counter top space.,a kitchen that has a sink and two seats. [SEP]
some brown cabinets a black oven a tea kettle and a microwave,a kitchen that has a sink and two seats. [SEP]
A small kitchen with glass and wooden cabinets.,a kitchen that has a sink and two seats. [SEP]
A modern style kitchen filled with may different items.,a kitchen that has a sink and two seats. [SEP]
A kitchen with wooden cabinets and black appliances.,a kitchen that has a sink and two seats. [SEP]
A professional kitchen filled with sinks and appliances.,a kitchen in the process of being remodeled. [SEP]
A kitchen area with toilet and various cleaning appliances.,a kitchen in the process of being remodeled. [SEP]
A commercial dish washing station with a toilet in it.,a kitchen in the process of being remodeled. [SEP]
A toilet and mop bucket in a kitchen.,a kitchen in the process of being remodeled. [SEP]
"A cluttered room with a sink, a toilet and in industrial mop bucket.",a kitchen in the process of being remodeled. [SEP]
A man on a bicycle riding next to a train,a man bicycle on a train track next to a train. [SEP]
A person is riding a bicycle but there is a train in the background.,a man bicycle on a train track next to a train. [SEP]
a red and white train and a man riding a bicycle,a man bicycle on a train track next to a train. [SEP]
a guy that is riding his bike next to a train,a man bicycle on a train track next to a train. [SEP]
A man riding a bike past a train traveling along tracks.,a man bicycle on a train track next to a train. [SEP]
A narrow kitchen filled with appliances and cooking utensils.,the room has many people standing in the kitchen by the door. [SEP]
A galley kitchen with cabinets and appliances on both sides,the room has many people standing in the kitchen by the door. [SEP]
A hallway leading into a white kitchen with appliances.,the room has many people standing in the kitchen by the door. [SEP]
"Doorway view of a kitchen with a sink, stove, refrigerator and pantry.",the room has many people standing in the kitchen by the door. [SEP]
The pantry door of the small kitchen is closed.,the room has many people standing in the kitchen by the door. [SEP]
A kitchen with wood floors and lots of furniture.,a kitchen in the middle of a big room. [SEP]
"A beautiful, open kitchen and dining room area features an island in the center and wood cabinets and large windows.",a kitchen in the middle of a big room. [SEP]
A kitchen made of mostly wood with a small desk with a laptop.,a kitchen in the middle of a big room. [SEP]
A very spacious room with a kitchen and dining area.,a kitchen in the middle of a big room. [SEP]
A full view of an open kitchen and dining area.,a kitchen in the middle of a big room. [SEP]
A woman eating vegetables in front of a stove.,a woman with glasses holds a white plate of food in her mouth. [SEP]
A woman forks vegetables out of a bowl into her mouth. ,a woman with glasses holds a white plate of food in her mouth. [SEP]
Woman eating an assortment of mixed vegetables in a bowl.,a woman with glasses holds a white plate of food in her mouth. [SEP]
A young woman standing in a kitchen eats a plate of vegetables.,a woman with glasses holds a white plate of food in her mouth. [SEP]
A woman eating fresh vegetables from a bowl.,a woman with glasses holds a white plate of food in her mouth. [SEP]
A kitchen is shown with a variety of items on the counters.,a kitchen is dimly lit by the light above the stove. [SEP]
A kitchen has the windows open and plaid curtains.,a kitchen is dimly lit by the light above the stove. [SEP]
A kitchen with two windows and two metal sinks.,a kitchen is dimly lit by the light above the stove. [SEP]
An older kitchen with cluttered counter tops but empty sink.,a kitchen is dimly lit by the light above the stove. [SEP]
Glasses and bottles are placed near a kitchen sink.,a kitchen is dimly lit by the light above the stove. [SEP]
A boy performing a kickflip on his skateboard on a city street.,a man on a skateboard mid air doing tricks on a street. [SEP]
A man is doing a trick on a skateboard,a man on a skateboard mid air doing tricks on a street. [SEP]
A guy jumps in the air with his skateboard beneath him.,a man on a skateboard mid air doing tricks on a street. [SEP]
Man in all black doing a trick on his skateboard.,a man on a skateboard mid air doing tricks on a street. [SEP]
A skateboarder flipping his board on a street.,a man on a skateboard mid air doing tricks on a street. [SEP]
"A kitchen with a stove, microwave and refrigerator.",a kitchen with several appliances sitting near a refrigerator. [SEP]
"A refrigerator, oven and microwave sitting in a kitchen.",a kitchen with several appliances sitting near a refrigerator. [SEP]
The kitchenette uses  small space to great efficiency.,a kitchen with several appliances sitting near a refrigerator. [SEP]
an image of a kitchen setting with black appliances,a kitchen with several appliances sitting near a refrigerator. [SEP]
"A kitchen with cabinets, a stove, microwave and refrigerator.",a kitchen with several appliances sitting near a refrigerator. [SEP]
A group of people riding on the back of a loaded red pickup truck.,people are on the back of a small overloaded on a vehicle on the road. [SEP]
A truck with a number of people and things in the back,people are on the back of a small overloaded on a vehicle on the road. [SEP]
Men are crowded on the back of a small overloaded pickup truck.,people are on the back of a small overloaded on a vehicle on the road. [SEP]
An old pick up truck over loaded with people and cargo.,people are on the back of a small overloaded on a vehicle on the road. [SEP]
A truck carries a large amount of items and a few people.,people are on the back of a small overloaded on a vehicle on the road. [SEP]
A wooden ball on top of a wooden stick.,many people are on a wooden table with wooden spoons. [SEP]
The table is full of wooden spoons and utensils.,many people are on a wooden table with wooden spoons. [SEP]
A wood table holding an assortment of wood cooking utensils.,many people are on a wooden table with wooden spoons. [SEP]
A selection of wooden kitchen tools on a counter.,many people are on a wooden table with wooden spoons. [SEP]
Wooden spoons are lined up on a table,many people are on a wooden table with wooden spoons. [SEP]
Multiple wooden spoons are shown on a table top.,a table with several pieces of wooden furniture on it. [SEP]
A table surrounded by chairs and filled with cooking utensils.,a table with several pieces of wooden furniture on it. [SEP]
Wooden spoons laid out across a kitchen table.,a table with several pieces of wooden furniture on it. [SEP]
Wooden spoons and forks are all over a table.,a table with several pieces of wooden furniture on it. [SEP]
A table and chairs with wooden kitchen tools on top.,a table with several pieces of wooden furniture on it. [SEP]
A large boat filled with mean on wheels.,people on a boat with two horse pulling a carriage with two men standing in the wagons. [SEP]
A bunch of people aboard a boat with wheels. ,people on a boat with two horse pulling a carriage with two men standing in the wagons. [SEP]
A boat is being rolled on a trailer,people on a boat with two horse pulling a carriage with two men standing in the wagons. [SEP]
A large boat full of men is sitting on a cart ,people on a boat with two horse pulling a carriage with two men standing in the wagons. [SEP]
A boat full of people is on a trailer with wheels.,people on a boat with two horse pulling a carriage with two men standing in the wagons. [SEP]
several young students working at a desk with multiple computers,a room with two laptops and various people on their laptops. [SEP]
"A young man at his workstation examines the monitor of a lap top, with one hand on the keyboard and the other on the mouse.",a room with two laptops and various people on their laptops. [SEP]
A man is working on a laptop next to other computers.,a room with two laptops and various people on their laptops. [SEP]
"People in a large room, use multiple computers.",a room with two laptops and various people on their laptops. [SEP]
A young professional is working at his laptop while his coworker is reading material.,a room with two laptops and various people on their laptops. [SEP]
A man riding an elephant into some water of a creek.,"a man rides a elephant, while the elephant sits on a tree. [SEP]"
man riding an elephant into water surrounded by forest,"a man rides a elephant, while the elephant sits on a tree. [SEP]"
A man riding an elephant in a river.,"a man rides a elephant, while the elephant sits on a tree. [SEP]"
A man in a brown shirt rides an elephant into the water.,"a man rides a elephant, while the elephant sits on a tree. [SEP]"
A man rides an elephant into a river.,"a man rides a elephant, while the elephant sits on a tree. [SEP]"
a couple of women  are in a kitchen,a woman standing at the kitchen counter cooking and measuring liquid. [SEP]
Two people standing in the kitchen of a home.,a woman standing at the kitchen counter cooking and measuring liquid. [SEP]
A group of people who are around a kitchen counter.,a woman standing at the kitchen counter cooking and measuring liquid. [SEP]
A group of people prepare dinner in the kitchen.,a woman standing at the kitchen counter cooking and measuring liquid. [SEP]
two women in a kitchen bottles and lights,a woman standing at the kitchen counter cooking and measuring liquid. [SEP]
The woman in the kitchen is holding a huge pan.,a woman standing at the kitchen counter posing for a picture. [SEP]
A chef carrying a large pan inside of a kitchen.,a woman standing at the kitchen counter posing for a picture. [SEP]
A woman is holding a large pan in a kitchen. ,a woman standing at the kitchen counter posing for a picture. [SEP]
A woman cooking in a kitchen with granite counters.,a woman standing at the kitchen counter posing for a picture. [SEP]
A woman cooking in her kitchen with a black pan.,a woman standing at the kitchen counter posing for a picture. [SEP]
A baby is laying down with a teddy bear.,a baby laying in bed with a stuffed bear. [SEP]
A baby laying in a crib with a stuffed teddy bear.,a baby laying in bed with a stuffed bear. [SEP]
"A baby wearing gloves, lying next to a teddy bear",a baby laying in bed with a stuffed bear. [SEP]
A baby stares to the left while taking a picture with a teddy bear lays beside it .,a baby laying in bed with a stuffed bear. [SEP]
A baby lies on blue and green bedding next to a teddy bear.,a baby laying in bed with a stuffed bear. [SEP]
"Two bikers, one in front of a building, the other in the city.",two photos of a building with a two bicycles in front of it. [SEP]
Two shots of men riding bicycles down city streets.,two photos of a building with a two bicycles in front of it. [SEP]
A man riding a bike in front of a tall building.,two photos of a building with a two bicycles in front of it. [SEP]
There are two different people riding bikes down the street.,two photos of a building with a two bicycles in front of it. [SEP]
Two photos of a person riding a bicycle on the side of the road.,two photos of a building with a two bicycles in front of it. [SEP]
People riding bicycles down the road approaching a bird.,the people are all watching and listening to the bike [SEP]
three bicycle riders some trees and a pigeon,the people are all watching and listening to the bike [SEP]
A geoup of people on bicycles coming down a street.,the people are all watching and listening to the bike [SEP]
Several smiling bicycle riders approaching a colorful pigeon.,the people are all watching and listening to the bike [SEP]
A pigeon greets three bicyclists on a park path,the people are all watching and listening to the bike [SEP]
A little girl holding a kitten next to a blue fence.,a little girl in a yellow shirt holding a small cat [SEP]
Girl in a tank top holding a kitten in her back yard,a little girl in a yellow shirt holding a small cat [SEP]
A young girl is holding a small cat.,a little girl in a yellow shirt holding a small cat [SEP]
Girl with a yellow shirt holding a small cat,a little girl in a yellow shirt holding a small cat [SEP]
A girl smiles as she holds a kitty cat.,a little girl in a yellow shirt holding a small cat [SEP]
A toilet and a sink in small bathroom.,a bathroom with a toilet inside of it [SEP]
a bathroom with just a toliet and a sink in it,a bathroom with a toilet inside of it [SEP]
A small section of a bathroom with dim lighting.,a bathroom with a toilet inside of it [SEP]
"a bathroom with a toilet, sink, cabinet and mirror",a bathroom with a toilet inside of it [SEP]
The bathroom has been cleaned and is ready to use. ,a bathroom with a toilet inside of it [SEP]
A bicycle store shows two males leaning toward a bike.,two people in a shop looking at a bike. [SEP]
A man adjust a bicycle in a bike shop with a child.,two people in a shop looking at a bike. [SEP]
The bike shop employee is helping a customer. ,two people in a shop looking at a bike. [SEP]
A man and a boy are talking about a bicycle in a store.,two people in a shop looking at a bike. [SEP]
Two people in a shop looking at a bike.,two people in a shop looking at a bike. [SEP]
A shower stall with interesting tile is the focal point.,a red toilet seat in a nicely decorated bathroom. [SEP]
"A full perspective of a washroom with a sink. 
",a red toilet seat in a nicely decorated bathroom. [SEP]
A white bathroom sink sitting under a mirror.,a red toilet seat in a nicely decorated bathroom. [SEP]
I picture of a bathroom with a stand up shower stall and a person's reflection in the mirror.,a red toilet seat in a nicely decorated bathroom. [SEP]
A small shower behind a small bathroom sink.,a red toilet seat in a nicely decorated bathroom. [SEP]
A view of a very large bathroom with mirrored walls.,the bathroom area is very clean and neat. [SEP]
a corner bathroom with two sinks and a bathtub,the bathroom area is very clean and neat. [SEP]
"A bathroom with a sink, shower and bathtub.",the bathroom area is very clean and neat. [SEP]
"A large bathroom with cabinets, mirrors and a tub.",the bathroom area is very clean and neat. [SEP]
"This bathroom has mirrors on the doors, cabinets, and a bathtub in the corner.",the bathroom area is very clean and neat. [SEP]
a long beige bathroom with a door to a bedroom and another to the hallway,a bathroom with a double sink and a garden tub [SEP]
A view of a bathroom with double sinks and carpeted floor.,a bathroom with a double sink and a garden tub [SEP]
white vanity that opens up to a bathroom with shower,a bathroom with a double sink and a garden tub [SEP]
a hallway with diamond patterned walls leading to a bathroom and a bedroom,a bathroom with a double sink and a garden tub [SEP]
A bathroom with a large sink and mirror opens onto a room with the toilet and bathtub.,a bathroom with a double sink and a garden tub [SEP]
The view of a large bathroom with a walk in closet.,a double door bathroom with a sink and toilet [SEP]
A bathroom with a walk-in closet and a jacuzzi tub.,a double door bathroom with a sink and toilet [SEP]
A white and beige tiled bathroom and adjoining walk-in closet.,a double door bathroom with a sink and toilet [SEP]
White tiled bathroom with a vanity tub and white flowers.,a double door bathroom with a sink and toilet [SEP]
Long shot of a bathroom includes closet and tub.,a double door bathroom with a sink and toilet [SEP]
A white toilet sitting next to a green wall under a picture.,a toilet with white seat sitting in a small bathroom. [SEP]
The letter A framed in a green bathroom.,a toilet with white seat sitting in a small bathroom. [SEP]
There is a potted plant on the back of a toilet,a toilet with white seat sitting in a small bathroom. [SEP]
A white toilet and some tissue in a room.,a toilet with white seat sitting in a small bathroom. [SEP]
A commode with a plant on it under a picture on the wall.,a toilet with white seat sitting in a small bathroom. [SEP]
A bathroom with an enclosed shower next to a sink and a toilet.,a bathroom stall contains a toilet and toilet paper roll. [SEP]
"A clean, spacious bathroom with a large shower stall.",a bathroom stall contains a toilet and toilet paper roll. [SEP]
"There are a toilet, a sink, and a shower stall in a large bathroom.",a bathroom stall contains a toilet and toilet paper roll. [SEP]
"A bathroom featuring a walk in shower, mirror, sink and toilet.",a bathroom stall contains a toilet and toilet paper roll. [SEP]
"Bathroom with a shower, sink, and toilet in it. ",a bathroom stall contains a toilet and toilet paper roll. [SEP]
people on bicycles ride down a busy street ,a man is riding his bicycle in a lane next to a parking meter. [SEP]
A group of people are riding bikes down the street in a bike lane,a man is riding his bicycle in a lane next to a parking meter. [SEP]
bike riders passing Burger King in city street,a man is riding his bicycle in a lane next to a parking meter. [SEP]
A group of bicyclists are riding in the bike lane.,a man is riding his bicycle in a lane next to a parking meter. [SEP]
"Bicyclists on a city street, most not using the bike lane",a man is riding his bicycle in a lane next to a parking meter. [SEP]
This is an image of the inside of a nice bathroom.,a bathroom stall with the toilet paper hanging from the rope. [SEP]
A white toilet next to a walk in shower and a sink.,a bathroom stall with the toilet paper hanging from the rope. [SEP]
A potted plant is being displayed in a bathroom.,a bathroom stall with the toilet paper hanging from the rope. [SEP]
A tiled bathroom with a potted plant as a center piece.,a bathroom stall with the toilet paper hanging from the rope. [SEP]
Interior bathroom scene with modern furnishings including a plant.,a bathroom stall with the toilet paper hanging from the rope. [SEP]
Two dogs are looking up while they stand near the toilet in the bathroom.,a couple of dogs sitting next to each other. [SEP]
Two small dogs standing in a restroom next to a toilet.,a couple of dogs sitting next to each other. [SEP]
Two dogs looking up at a camera in a bathroom.,a couple of dogs sitting next to each other. [SEP]
Two small lap dogs in a small bathroom.,a couple of dogs sitting next to each other. [SEP]
Two small dogs stand together in a bathroom.,a couple of dogs sitting next to each other. [SEP]
A bathroom with a walk in shower currently under repair.,a bathroom stall with a toilet paper hanging from the wall. [SEP]
A photograph of a bathroom undergoing major renovations.,a bathroom stall with a toilet paper hanging from the wall. [SEP]
Interior shot of bathroom in the process of remodeling.,a bathroom stall with a toilet paper hanging from the wall. [SEP]
Picture of bathroom being remolded where sink has not been installed. ,a bathroom stall with a toilet paper hanging from the wall. [SEP]
A room under construction with an unfinished shower and plumbing for the sink.,a bathroom stall with a toilet paper hanging from the wall. [SEP]
The bathroom is clean for the guests to use. ,the bathroom with dual sinks has a large mirror. [SEP]
A bath and a sink in a room.,the bathroom with dual sinks has a large mirror. [SEP]
"A bathroom area with tub, sink and standup shower.",the bathroom with dual sinks has a large mirror. [SEP]
a view of a bathroom which is covered in tiles.,the bathroom with dual sinks has a large mirror. [SEP]
A kitchen is shown with a tub and a sink.,the bathroom with dual sinks has a large mirror. [SEP]
A white bath tub sitting next to a bathroom sink.,a bathroom stall with the toilet paper hanging from the shower stall. [SEP]
There is a bathtub and a counter in a bathroom.,a bathroom stall with the toilet paper hanging from the shower stall. [SEP]
A bathroom with a tub and shower and a sink.,a bathroom stall with the toilet paper hanging from the shower stall. [SEP]
This is a shower and bathtub without a shower curtain. ,a bathroom stall with the toilet paper hanging from the shower stall. [SEP]
A bathroom that has a mirror and a bathtub.,a bathroom stall with the toilet paper hanging from the shower stall. [SEP]
A full view of a shower with glass.,a person stands on the left in front of a shower stall on the toilet. [SEP]
A walk in shower with a hand held shower head.,a person stands on the left in front of a shower stall on the toilet. [SEP]
A bathroom shower stall with a shower head.,a person stands on the left in front of a shower stall on the toilet. [SEP]
a glass walled shower in a home bathroom,a person stands on the left in front of a shower stall on the toilet. [SEP]
a see through glass shower in a bathroom ,a person stands on the left in front of a shower stall on the toilet. [SEP]
A toilet sitting in a bathroom next to a sink.,a bathroom stall with the lid and seat up [SEP]
A toilet in a bathroom with green faded paint.,a bathroom stall with the lid and seat up [SEP]
A bathroom with a gouged wall and wall socket with no panel. ,a bathroom stall with the lid and seat up [SEP]
The toilet is near the door in the bathroom.,a bathroom stall with the lid and seat up [SEP]
The bathroom wall needs to be resurfaced and painted.,a bathroom stall with the lid and seat up [SEP]
Blue dust pan and brush on floor next to white commode.,the person is sitting on the toilet in the room [SEP]
A toilet in a low budget bathroom with a rough floor.,the person is sitting on the toilet in the room [SEP]
a close up of a toilet and a dust pale,the person is sitting on the toilet in the room [SEP]
A clean toilet in a bathroom with a cement floor.,the person is sitting on the toilet in the room [SEP]
a bathroom with a blue dustpan and broom on the floor ,the person is sitting on the toilet in the room [SEP]
A bathroom with a sink and toilet and a window.,"a small bathroom with its toilet, and paper towels below the tp. [SEP]"
A white bathroom with white fixtures and tile floor,"a small bathroom with its toilet, and paper towels below the tp. [SEP]"
A small white toilet sitting next to a sink.,"a small bathroom with its toilet, and paper towels below the tp. [SEP]"
"Small bathroom with a toilet, shower, and small mirror. ","a small bathroom with its toilet, and paper towels below the tp. [SEP]"
A bathroom contains a toilet and a sink.,"a small bathroom with its toilet, and paper towels below the tp. [SEP]"
There are two sinks next to two mirrors.,a kitchen in the corner of a building with people standing in front of it. [SEP]
Two very metallic sinks are shown as well as the mirrors above them.,a kitchen in the corner of a building with people standing in front of it. [SEP]
A room with stainless steel equipment including sinks and mirrors.,a kitchen in the corner of a building with people standing in front of it. [SEP]
Two stainless steel sinks with mirrors and a fire extinguisher. ,a kitchen in the corner of a building with people standing in front of it. [SEP]
A photo of a bathroom made of steel.,a kitchen in the corner of a building with people standing in front of it. [SEP]
A large porcelain toilet posed with a tan flower pot. ,a toilet sitting outside next to a sink. [SEP]
A toilet is sitting on the ground next to a plant.,a toilet sitting outside next to a sink. [SEP]
A toliet sitting on a curb in front of a house.,a toilet sitting outside next to a sink. [SEP]
A white toilet sits on the front lawn.,a toilet sitting outside next to a sink. [SEP]
A white toilet sitting on a sidewalk outside.,a toilet sitting outside next to a sink. [SEP]
a gray bicycle is locked to some metal doors,a close up of a bicycle parked indoors near a wall [SEP]
A bike that is padlocked to a wall.,a close up of a bicycle parked indoors near a wall [SEP]
"The bicycle is locked on the green, metal wall. ",a close up of a bicycle parked indoors near a wall [SEP]
A bike chained to the doors of a building ,a close up of a bicycle parked indoors near a wall [SEP]
A bike is locked and hanging from a door.,a close up of a bicycle parked indoors near a wall [SEP]
A woman rides a bicycle on a road next to the median.,a person riding a bicycle is shown crossing the street. [SEP]
A girl is riding her bike down the street.,a person riding a bicycle is shown crossing the street. [SEP]
A lady riding her bicycle on the side of a street.,a person riding a bicycle is shown crossing the street. [SEP]
A person on a bike riding on a street.,a person riding a bicycle is shown crossing the street. [SEP]
A woman riding a bike down a street next to a divider.,a person riding a bicycle is shown crossing the street. [SEP]
"A man takes a picture in the bathroom mirror
","a man is in the bathroom in the stall and in the corner of the bathroom, in the mirror, and in the stall, in the stall, next to a cat and a dog and a cat. [SEP]"
a person taking a photo in a mirror ,"a man is in the bathroom in the stall and in the corner of the bathroom, in the mirror, and in the stall, in the stall, next to a cat and a dog and a cat. [SEP]"
A man taking a picture of a bathroom.,"a man is in the bathroom in the stall and in the corner of the bathroom, in the mirror, and in the stall, in the stall, next to a cat and a dog and a cat. [SEP]"
A bathroom sink sitting under a bathroom mirror.,"a man is in the bathroom in the stall and in the corner of the bathroom, in the mirror, and in the stall, in the stall, next to a cat and a dog and a cat. [SEP]"
A man takes a picture of his reflection in a mirror. ,"a man is in the bathroom in the stall and in the corner of the bathroom, in the mirror, and in the stall, in the stall, next to a cat and a dog and a cat. [SEP]"
A bathroom with a white toilet sitting next to a bathroom sink.,a bathroom with a large mirror over a sink. [SEP]
A bathroom vanity and toilet in a public restroom.,a bathroom with a large mirror over a sink. [SEP]
"A view of a bathroom shows a toilet, sink and mirror.",a bathroom with a large mirror over a sink. [SEP]
A modern looking bathroom has a toilet and a sink. ,a bathroom with a large mirror over a sink. [SEP]
This bathroom has brown counter tops and a white toilet,a bathroom with a large mirror over a sink. [SEP]
A bathroom with two sinks and a shower.,a bathroom with two sinks and a large mirror [SEP]
a big bathroom that has some sinks in it,a bathroom with two sinks and a large mirror [SEP]
Bathroom vanity with double sinks and large mirrors.,a bathroom with two sinks and a large mirror [SEP]
A bathroom with sinks mirrors and tile flooring.,a bathroom with two sinks and a large mirror [SEP]
A bathroom that has two sinks next to each other.,a bathroom with two sinks and a large mirror [SEP]
The bathroom is clean and ready to be used. ,a bathroom with a toilet and a sink [SEP]
a small bathroom with a sink and a toilet.,a bathroom with a toilet and a sink [SEP]
"A toilet, sink and mirror in the bathroom",a bathroom with a toilet and a sink [SEP]
Doorway view into bathroom with a sink and toilet.,a bathroom with a toilet and a sink [SEP]
A white toilet sitting next to a sink.,a bathroom with a toilet and a sink [SEP]
A bath tub sitting next to a sink in a bathroom.,a bathroom with tiled floors and walls and a small sink. [SEP]
The bathroom is clean and ready for us to use.,a bathroom with tiled floors and walls and a small sink. [SEP]
a bath tub sitting next to a sink ,a bathroom with tiled floors and walls and a small sink. [SEP]
A bathroom that has a shower curtain over a bathtub.,a bathroom with tiled floors and walls and a small sink. [SEP]
"A bathroom with multicolored tile, bathtub and pedestal sink.",a bathroom with tiled floors and walls and a small sink. [SEP]
an image of a cars driving on the highway,a bus stop and sidewalk area in a city. [SEP]
A section of traffic coming to a stop at an intersection.,a bus stop and sidewalk area in a city. [SEP]
A bunch of cars sit at the intersection of a street.,a bus stop and sidewalk area in a city. [SEP]
This is a picture of traffic on a very busy street.,a bus stop and sidewalk area in a city. [SEP]
A busy intersection filled with cars in asia,a bus stop and sidewalk area in a city. [SEP]
This shot is of a crowded highway full of traffic,people and buses on the road together on the day. [SEP]
there are many taxi cabs on the road,people and buses on the road together on the day. [SEP]
A city street with lots of traffic and lined with buildings.,people and buses on the road together on the day. [SEP]
Heavy city traffic all going in one direction,people and buses on the road together on the day. [SEP]
Many cars stuck in traffic on a high way,people and buses on the road together on the day. [SEP]
Mirror view of a bathroom with a sink and tub.,a white sink sitting under a mirror next to a toilet. [SEP]
mirror reflection of sink and the tub next to it.,a white sink sitting under a mirror next to a toilet. [SEP]
A bathroom mirror has the reflection of the sink and bathtub.,a white sink sitting under a mirror next to a toilet. [SEP]
The bathroom is very small with white fixtures. ,a white sink sitting under a mirror next to a toilet. [SEP]
A sink is shown in a small bathroom,a white sink sitting under a mirror next to a toilet. [SEP]
A city street filled with traffic and parking lights.,a streetlight is seen through the space between two parked cars. [SEP]
A full view of a late evening with many cars parked on the street.,a streetlight is seen through the space between two parked cars. [SEP]
A very dark street with cars and many wires above.,a streetlight is seen through the space between two parked cars. [SEP]
