correct,generate
"An older gentleman, dressed in jeans and a long-sleeved shirt, tosses a small red ball on the beach.",a man throwing a frun ball on a beach [SEP]
Many people are walking along a sidewalk with a variety of little shops.,a street scene with people walking and bicycles [SEP]
A wakeboarder performs a flip while being towed at high speed.,a man is doing a trick on a surfboard [SEP]
Four police officers are swallowed up by the large crowd of people on the street.,a crowd of people [SEP]
A man wearing bathing trunks is parasailing in the water.,a man is water skiing in a lake [SEP]
A woman's lower body can be seen as she wears blue jeans and walks in front of a large sign depicting another woman wearing a black top and sunglasses.,a woman walking down the street [SEP]
"A young man wearing blue jeans and a t-shirt sits in the grass, with a ball in the air.",a boy sitting on the grass [SEP]
Red white and blue SUV patrolling the beach and shoreline on a cloudy day while seagulls walk in the sand.,a car on the beach [SEP]
Two young men dressed in black stand next to each other looking at something.,a man wearing a black jacket [SEP]
"A crowd is watching 2 shirtless men, one in yellow pants and one in black shorts perfom.",a man in yellow shorts [SEP]
Two men wearing hats and holding canes are standing silhouetted against a large body of water with sunlight reflecting off the water and a tree to the side.,a couple walking on a beach at sunset [SEP]
"Three people dressed in blue, white and black leotards are being held up by the hands of a set of two people each on the ground dressed in the same outfit as people look on.",a group of people [SEP]
"A young boy is looking at a checkers board with one fist leaning against his head as a partially visible adult sits across the table from him, in a room full of people sitting in chairs around tables.",a group of people sitting at a table [SEP]
"In foreground, a woman in pink jeans is helping a child in a heart t-shirt to skate, while cyclists and others walk in background with palm trees.",a group of people skateboarding on a beach [SEP]
A man sits on a bench holding his dog and looking at the water.,a man sitting on a bench [SEP]
"Two boys wearing red jackets are digging shovels into the dirt, the smaller boy in the yellow boots has a mohawk.",a boy and a boy playing in the sand [SEP]
Woman dressed in blue sitting on a bench with a cane next to her looking through her purse with a stretch limo behind her with a man and a woman walking in opposite directions from one another.,a woman sitting on a bench [SEP]
Light brown dog running towards something at the beach.,a dog running on the beach [SEP]
"An Asian woman wearing a Asian dress sitting among a group of cloths, with a woven basket on her lap.",a woman sitting in a pile of clothes [SEP]
A man in a blue and white t-shirt is grilling outdoors.,a man standing next to a grill [SEP]
Woman singing with a microphone next to a person playing guitar.,a woman singing into a microphone [SEP]
A girl is playing an electric guitar in front of an amplifier.,a woman playing a guitar [SEP]
A woman in a green dress sitting in a broken green and yellow chair.,a woman sitting on a bench [SEP]
Three men and two women stand facing the ocean from the shore on a sunny day.,a group of people standing on the beach [SEP]
A girl is playing the violin in the street while her band mate on the guitar is talking on her cellphone with a confused look.,a woman playing a guitar [SEP]
A young girl with goggles strapped to her forehead enjoys the cool pool water.,a girl in a pool [SEP]
Some children are playing tug-of-war with a rope while an adult assists.,a group of children playing with a frc [SEP]
"Three people dancing acrobatically in a subway station, with one girl in a skirt doing a cartwheel over another person bending over.",a woman wearing a white shirt [SEP]
A brown dog walks in the grass with its tongue hanging out.,a dog walking in the grass [SEP]
Two men sitting in front of a building and a field of grass in front of them.,a man and woman sitting in a field [SEP]
"Several people, including a shirtless man and a woman in purple shorts which say ""P.I.N.K."" on the back, are walking through a crowded outdoor area.",a group of people walking down a sidewalk [SEP]
Two boys try to attach fruits to a bicycle on a dirt road.,a man on a bicycle [SEP]
An African American man with a black hat and black tank top plays the drums on some buckets for donations.,a man sitting on the floor [SEP]
A girl is outside painting a picture of a lady on the side of the wall using chalk,a woman drawing on a wall [SEP]
Two teammates from the USA team are jumping in the air to give high-fives while two teammates watch.,a group of women playing volleyball [SEP]
A man with long hair pulled into a ponytail and thick framed black glasses stands at a stove stirring a pot of boiling water.,a man in a kitchen preparing food [SEP]
A young man is wakeboarding on a body of water.,a man on a wake board [SEP]
Several people walking past a food cart on a city street.,a group of people walking down a street [SEP]
A group of spectators sitting in lawn chairs in the street facing a building and drinking beer.,a group of people sitting on a sidewalk [SEP]
A blond woman pours a glass of wine in a dim restaurant.,a woman is serving food [SEP]
A little boy is wearing a blue and white shirt while holding a toy animal that is either a crocodile or an alligator.,a young boy holding a toy in his hand [SEP]
A large woman with long pink hair dressed in black is laying on a tree trunk talking to a man who is crouched down next to her.,a woman sitting on a tree branch [SEP]
A sushi restaurant with a man cooking while in the background is a man and young boy sitting at a table.,a chef is cooking a meal on a grill [SEP]
A girl leaps through the air while running on the riverbank.,a boy jumping in the air [SEP]
A man waring a polo shirt fixes a ticket machine while persons line up at an adjoining machine.,a man and woman are standing in front of a blue and white bus [SEP]
An old man with arms outstretched sits against a wooden wall between a woman and another man.,a man with his arms up [SEP]
"A young boy wearing a white tunic, white pants, and a yellow belt is standing on his left leg with his right leg extended in a karate pose.",a young boy is practicing karate [SEP]
Three construction workers are digging a whole next to a wall in a field.,a group of men working in a field [SEP]
A woman takes a picture of a baby wearing a pink hat while a man carries her.,a man wearing a red sweater [SEP]
"A number of people are sitting in blue chairs in a room, looking at computer screens while wearing earphones.",a group of people sitting in a room with computers [SEP]
"A young boy, playing soccer, is wearing a green jersey and black shorts and has his face buried in his hands.",a boy playing with a frc [SEP]
A woman with a black shirt and tan apron is standing behind a counter in a restaurant.,a woman standing in a kitchen [SEP]
A construction worker is driving heavy equipment at a work site.,a large bull [SEP]
"A softball player dressed in a maroon and gold uniform, at home plate with a catcher and umpire, prepares to run after hitting the ball.",a woman swinging a bat [SEP]
A man wearing blue coveralls is handing a tool to another person.,a man in a blue shirt [SEP]
Climbers with hiking boots and blue helmets ascend a snow covered mountain.,a group of people walking up a snowy slope [SEP]
A mountaineer about to descend down a mountain with a blue helmet on.,a man and a woman on a rock [SEP]
"A man in long pants does a handstand on a large, circular object in the evening.",a large blue and white sign [SEP]
A child sitting at a restaurant table holding a paper mask against his face.,a child sitting at a table [SEP]
A reddish brown dog walking in water carrying a stick in his mouth.,a dog in the water [SEP]
"Two children wearing hats are standing on the shoreline, and a woman is holding one child by the arm while the other is fishing.",a man and a child are standing on a rocky beach [SEP]
A young child walks down a gravel path lined with a row of red outdoor chairs.,a row of red chairs [SEP]
A girl sits on a decorated bike with a younger boy while another girl takes a picture.,a group of people standing around a bike [SEP]
Black dog paddles through the water with a bright ball in its mouth.,a dog swimming in the water with a ball in its mouth [SEP]
A man in a blue shirt is kicking a yellow object while other students are practicing karate in the background.,a man in a blue shirt [SEP]
A Chinese + man and younger boy in some type of worship place worshiping.,a group of people [SEP]
A young man with a denim jacket and writing on his hand smiles in front of a bookcase full of videos.,a boy in a store [SEP]
"Two men are sitting in a canoe in the middle of a lake, watching the sunset in the background.",a cloudy sunset [SEP]
"People are standing on a crowded subway, and the platform outside is visible through the window.",a man standing in a subway car [SEP]
"Man in black pants and vest balances between to pillars, holding two flaming torches in his right hand.",a man is jumping off of a building [SEP]
Two brown dogs run across a large snowy yard.,a dog running in the snow [SEP]
A group of musicians are performing on a stage in front of a crowd.,a group of people on stage [SEP]
"A woman holds the hand of a wide-eyed baby, in a christmas themed outfit.",a woman holding a baby [SEP]
An eastern Indian man with a mustache and glasses is sitting by a computer.,a man sitting at a desk with a computer [SEP]
"A woman wearing a black and white shirt, glasses and has a ring on her right hand, is smiling, while sitting on what appears to be a sofa with a blanket throw on the back of it.",a woman sitting in a chair [SEP]
A man in a brown jacket holding a red bag is speaking to another man with a white beard and green cap.,the people are in a mosque [SEP]
Four white dogs are running and jumping with masks over their mouth.,a group of dogs [SEP]
A woman with short black hair in a blue t-shirt holds a baby in pink clothes with a pacifier.,a woman holding a baby in her arms [SEP]
Two people are seated in striped outdoor chairs which are placed in a body of water and one man is holding a large fishing pole.,a man and a woman in the water [SEP]
"A Indian lady sitting making a clothing piece with a young child and older lady looking upon her, young child in the background playing.",a woman sitting on a bench [SEP]
A little boy is standing above a structure and watching the other boys play a game.,a group of people [SEP]
A person in a black jacket is grabbing a boy's shoulder to stop him from backing into the road while a silver Mini is driving by.,a man standing on a sidewalk [SEP]
A woman stands in a field surrounded by three attentive gray dogs.,a woman walking with two dogs [SEP]
A boy is hanging out of the window of a yellow taxi.,a yellow taxi cab [SEP]
"A man wearing jeans and boots is jumping into the air with a white sandy hill below him, and a blue cloudless sky behind him.",a man jumping in the air [SEP]
A boy wearing an orange doritos shirt looks like he's about to jump off of a piece of furniture.,a boy jumping on a bed [SEP]
A man in a yellow coat is on a blue industrial crane working on the side of a tall building.,a blue crane [SEP]
A group of young people are listening to a man in a blue shirt telling them about Brazil.,a group of people sitting on the floor [SEP]
A bunch of beer pull tabs at a bar with Christmas lights on the ceiling.,a man sitting at a bar with a beer [SEP]
A man is repelling down the side of a mountain over the ocean.,a man is parading [SEP]
A man dressed in all black is wearing shades and standing in snow and there is a red vehicle in back of him.,a man standing next to a car [SEP]
Little white dog wearing a leash jumping after a red ball.,a dog running with a ball in its mouth [SEP]
"A female police officer, wearing an officer's hat and sunglasses, stands in uniform in front of a window-lined street block.",a woman in a police uniform [SEP]
"A lady pushes a stroller, behind a child, riding a tricycle, while another child walks along side.",a paved road [SEP]
A man in a green hard hat and yellow vest is looking down.,a man wearing a yellow vest [SEP]
A young girl dancing in her socks on a wooden floor strewn with pink balloons.,a girl wearing a hat [SEP]
A large tan bulldog walking along the rocky shore of a small stream.,a dog standing on the shore of a river [SEP]
A chinese man wearing glasses sitting on a chair holding a green beverage.,a man sitting on a chair [SEP]
A man in a red shirt is smiling with food in front of him while seated at a table on an outside deck.,man wearing a red shirt [SEP]
Woman in a white dress standing with a tennis racket and two people in green behind her.,a woman holding a tennis racket [SEP]
"A little boy holding a yellow, plastic shovel, crouches in the sand.",a young boy playing with a yellow fr frc [SEP]
"A woman in a pink coat with the fur lined hood up, with black pants and brown shoes sitting on a bench near a pop machine with a striped yellow bag by her side.",a woman sitting on a bench in a parking [SEP]
A man wearing a white shirt is looking out a window of a metal construction.,a train car with a man in it [SEP]
A young woman with blond-hair is holding a white statuette of a Japanese geisha woman.,a woman holding a white elephant [SEP]
Six shirtless children are playing in natural water and splashing around.,the water is green [SEP]
"A man and a woman ride bicycles away from the camera as they traverse a remote area toward undulating hills, with blue sky in the background.",the sky is clear [SEP]
A girl jumping rope on a sidewalk with a parking garage to the left.,a little girl running down the sidewalk [SEP]
A man in an orange shirt and a blue hard hat smiles.,a man wearing a helmet [SEP]
"A small boy plays with plastic blocks, cars, and animals with an adult watching closely.",a red rug [SEP]
A mother and two children opening gifts on a Christmas morning.,a woman and a little girl sitting on the floor [SEP]
A woman with a blue hat and blue and red jacket setting up a camera on a tripod.,a woman holding a camera [SEP]
"A little girl in cuffed jeans, a long-sleeve pink shirt and no shoes is sleeping on the sofa.",a little girl laying on a couch with her feet on the couch [SEP]
A dog with a red collar runs in a forest in the middle of winter.,a dog is walking on a trail in the woods [SEP]
A dog jumps by a tree while another lays on the ground.,a tree with no leaves [SEP]
A dog with a black and brown marbled coat scowls at the camera while a young woman in a black suit walks in the background.,a dog sitting on the steps [SEP]
An Asian man in a green uniform shirt with a white speckled headband is using a torch to cook food in a restaurant.,a group of people standing around a table [SEP]
A man dressed in black leather and a cowboy hat is walking around a Renaissance Festival.,a man in a black vest and hat standing next to a woman [SEP]
A white dog with a yellow toy in his mouth runs through a nature trail towards the camera.,a dog running through a forest [SEP]
A dog wearing a cape is running through the snow.,a dog running in the snow [SEP]
A small black and white dog running on the beach with several people in the background,a dog running on the beach with a frurd person [SEP]
A woman and little boy are smiling and the child is tasting something on a long wooden spoon.,a woman holding a child [SEP]
A man with a bright reflective vest and headphones is standing next to a man with a suit and scarf.,a man wearing a yellow vest [SEP]
A group of people examine a boat with an orange flag that is sitting on sand next to a body of water.,a group of people on a beach with a boat [SEP]
A man wearing a baseball hat and jacket reads while sitting in an Italian restaurant.,a man sitting at a table [SEP]
A well-dressed man plays a grand piano during an art exhibit.,a man playing a piano [SEP]
Little boy wearing a dark blue shirt and yellow shorts playing with a soccer ball in grass.,a boy playing soccer [SEP]
The man is standing on a stone stump on top of a hill with his arms outstretched.,a man standing on a rock [SEP]
The dog tries to bite the water coming out of the sprinkler.,a dog playing with a water spe [SEP]
A female couple lean on each other in the outdoors after a good swim.,two girls are posing for a picture [SEP]
"A man is tilting his head back in a barber's chair, while his beard is lathered up before a shave.",a man with long hair [SEP]
A child is walking through a puddle wearing green sandals,a small child is playing in a puddle [SEP]
A man in blue overalls and red shirt holding a chainsaw.,a man working on a piece of wood [SEP]
A man in a checked shirt is sitting at a table looking back at a group of people behind him.,a man sitting at a table [SEP]
"A small boy dressed in a black sweatshirt with a logo on it, holds a red bat in front of blue stadium seats.",a boy holding a bat [SEP]
A dark-haired bearded man in glasses and a Hawaiian shirt is sitting on the grass.,a man sitting on the ground [SEP]
Greyhounds racing chasing a mechanical rabbit around the track.,a group of dogs running in a race [SEP]
"A shirtless man with tattoos, glasses and a baseball hat, touching a spotlight that is on.",a man in a black shirt [SEP]
A dog wearing a yellow collar is bearing his teeth at another dog that is sitting by a tree.,a dog and a dog [SEP]
People are standing around inside and one of them is wearing a fedora and a striped zip hoodie,a man wearing a hat [SEP]
The brown dog with the white chest is carrying a ball.,a dog running in the grass [SEP]
An silver-haired man stands on the cobblestones of an open-air square playing the accordion.,a cobbed street [SEP]
A girl sitting outside a coffee house on a maroon colored bench with another girl watching her.,a woman sitting on a bench [SEP]
"A man, possible a street musician, plays both a pan pipe and a small stringed instrument in an outdoor setting, while a bicycle leans against ivy in the background.",a man playing a musical instrument [SEP]
"Two boys holding a green rope and competing against each other on a balancing rod, while others look on.",a group of children [SEP]
The motorcycle is being ridden on a track whilst pulling a wheelie.,a man on a motorcycle [SEP]
A girl has placed a purple cloth over her face while she lies on wooden structure.,a girl laying on a wooden bench [SEP]
A woman wearing sunglasses sits on a red bench in front of a yellow building.,a woman sitting on a bench [SEP]
A black dog is slowly crossing a fallen log that is outstretched over a stream of water.,a dog standing on a log [SEP]
Small child in white shirt and print shorts with hands over their head standing on object.,a boy on a pole [SEP]
A small crowd gathered at a local seaman monument holding umbrellas.,a group of people walking down a street [SEP]
"A man uses a bicycle to transport a sight that says ""Lovely,"" while another man on a motor scooter drives by.",a man riding a bike [SEP]
A person in a green jacket throws a stick into the water for a black and white dog to fetch whilst a brown and white dog looks on.,a man throwing a bird [SEP]
"A group of people sit outside under a white shade tent, sitting in green lawn chairs, playing instruments with a view of a body of water behind them.",a white tent [SEP]
A crowd of people walking down the middle of a city street.,a crowd of people walking down a city street [SEP]
A woman in a white button up shirt is holding a rope and smiling.,a woman holding a white flag [SEP]
"At an outdoor event, one man is speaking into a megaphone while another man is holding the megaphone.",two people standing on the street [SEP]
A man watches eagerly as his black dog leaps into the water.,a dog jumping in the air [SEP]
"A saddle bronc rider gets lifted out of the saddle, but keeps his grip during his ride.",a man riding a horse [SEP]
A man in an orange vest and yellow hard hat looks on as a yellow vehicle lays track.,a train track [SEP]
A man in an orange vest works near a blue-draped fence and black and orange wires.,a green fence [SEP]
Two men wearing helmets and orange suits are having a conversation at a construction site.,two men in orange vests [SEP]
Two men are walking up a ramp while a third walks up a separate ramp in the opposite direction.,a man walking down a long hallway [SEP]
"An Asian bride, wearing a white wedding dress, is holding a bouquet of flowers while her bridesmaids are standing in the background.",a bride walking down the pier [SEP]
A man with a rolling stones t-shirt on with beige pants sitting in a highchair adjusting a black guitar,a man playing a guitar in a room [SEP]
A group of boys in swim gear is playing in a field surrounded by trees.,two boys playing with a frck [SEP]
Construction workers in orange and yellow vests with jeans work on a street.,the ground is dirty [SEP]
A group of young adults taking a break from boating.,a group of people standing around a canoe [SEP]
A group of young girls all dressed in blue shirts with black pants are standing around in a music room.,a group of people [SEP]
A group of young people actively jumping into the air with arms up and outward in different directions with legs bent and extended to positions of motion.,a group of people jumping [SEP]
A man in an orange kayak and a man in a blue kayak paddle around a beautiful lake.,a group of people in a lake [SEP]
Two people wearing all white are painting a brick wall.,two people standing on a sidewalk [SEP]
A young woman in a red sweater and jeans sits on the ledge of a red gazebo on a sunny day.,a woman sitting on a window sie [SEP]
Two performers putting on a mock fight for an audience that is watching attentively.,a group of people [SEP]
A man dressed in military uniform sits down and looks through some papers.,a man in a military uniform [SEP]
The man in the yellow jacket is cooking over an open fire as the little boy watches.,a little girl is cooking something on a fire [SEP]
A man in a red shirt and jeans and a toddler on a rock near the water.,a man and a child [SEP]
"A woman on a boat named ""El Corazon"" drops black weights into the water.",a boat in the water [SEP]
A person sitting on a ledge using a machine to look out over the city.,a woman sitting on a pole [SEP]
A barefooted little girl in a pink dress is mid-flight in a jump.,a girl jumping in the air [SEP]
People gather under a white tent while some sit at tables.,a white tent [SEP]
A young Asian man with long black hair in a t-shirt and shorts sits in front of a large musical drum.,a woman sitting on a stool [SEP]
"A squatting couple outdoors, engaged with a kneeling street performer or vendor reading from a book of manga.",two people sitting on the ground [SEP]
A girl in a yellow bathing suit laughs and points at a girl in an orange suit while another girls looks on.,two girls in bathing suits [SEP]
A dog jumping over high jump poles at show.,a dog jumping over a hurdle [SEP]
A dirty tan dog rolling in the dirt and looking right at the camera.,a dog laying on the ground [SEP]
Two brown and white dogs play roughly in a clearing of a wooded area.,a dog and a dog playing together [SEP]
"A man in a chef's uniform holding a large skillet over a stove, with fire coming out of the skillet.",a man cooking food [SEP]
An older man dressed in blue historical clothing is ringing a bell in his right hand.,a man dressed as a pirate [SEP]
"A young man sitting on a rock above a body of water, fishing rod in hand.",a man sitting on a rock [SEP]
The brown dog has a hold of the other dogs cheek with its teeth.,the dog is brown [SEP]
A man in a hat and a man in glasses talk on the side of the road as a man walks past them.,a man in a suit and hat is walking down the street [SEP]
A Chinese man inside a restaurant waiting for people to enter.,a green and red food truck [SEP]
The school bus is unloading children near the parked cars.,a yellow bus [SEP]
Two blond-haired women wear matching clothing and love beer.,a woman wearing a white shirt [SEP]
"A child appears to be in a canoe wearing a life jacket on the lake, clear blue water and blue sky.",a clear blue sky [SEP]
Several people walking at the park with a little girl in green shirt holding on to an adult wearing a white shirt.,a paved paved path [SEP]
Three people standing near each other wearing coats with other people in the background,a group of people standing on a sidewalk [SEP]
A young boy points out something interesting to the girl holding him in her lap near the front door.,a woman sitting on a chair [SEP]
"Three people, wearing dark clothes, get together for a close hug, outside of a cafe.",a man wearing a black jacket [SEP]
"In rural outdoors, blond woman sits on roof of yellow BMW vehicle, two people inside.",a woman sitting on top of a vehicle [SEP]
A light dog climbing a wall of dirt.,a dog running on a dirt road [SEP]
Young boy smiles as an extremely large kelly green fly perches on his nose.,a boy with a tooth [SEP]
A bald man in gray is holding out a stick whilst a black and brown dog jumps up to catch it.,a man playing with a dog [SEP]
Several Asian people are walking around a busy downtown shopping area.,a group of people walking down a street [SEP]
A muzzled greyhound dog wearing yellow and black is running on the track.,a dog running on the beach [SEP]
Man with gray beard sitting on the sidewalk with bags on either side of him.,a man sitting on a ledge with a bag [SEP]
A girl with a guitar and a guy with an umbrella sitting in front of a gate on the sidewalk.,a man and woman sitting on a stone bench [SEP]
A young man looks at a coffee marker on the shelf of a department store.,a man in a store [SEP]
The guy holding the red and white striped package is drinking from a plastic cup.,a crowd of people walking around a train station [SEP]
A young boy in a white suit stands in front of a white car with large bunches of flowers tied to the roof and hood.,a man standing next to a car with flowers on it [SEP]
A woman and a few children in an alleyway in between a vehicle and a fence.,a white van [SEP]
A man with glasses wearing a tuxedo and corsage stands near a man in a suit at a formal event.,two men standing outside [SEP]
A woman in a blue t-shirt and jeans is sweeping concrete.,a group of people [SEP]
Woman wearing a gray hat peaking around a rock cliff hanging over an ocean short with rocks in the background.,a person is swimming in the water [SEP]
A curly brown dog runs across the lawn carrying a toy in its mouth.,a dog running in the grass [SEP]
A skateboarder is riding his board along the boundary stone of a parking lot.,a man on a skateboard [SEP]
A young African american boy with red pants standing in front of a house.,a small child standing on the ground [SEP]
"The camera was tilted to the side to show this small room containing a number of different umbrellas in solid colors of red, blue, and black, most of them open and on the floor, while a woman stands behind them near the door to the room.",a group of umbrellas [SEP]
A group of guys are standing on a stage playing several different instruments.,a group of people playing music [SEP]
"A worker is wearing a orange jumpsuit stands near a blue hose, as he appears to be working on the job.",a man wearing an orange jumpsuit [SEP]
A bald man holds a fish in front of a lake while two blond young children stand near him while holding fishing poles.,a man holding a fish [SEP]
A dog owner is running along side his pet while the pet avoids obstacles on a course.,a man and a dog are playing in a field [SEP]
A young male wearing a red bathing suit is doing a backflip off of a dock and into the water.,a woman jumping into the water [SEP]
An woman wearing a light-blue shirt adjusts her hair while sitting at a table.,a girl sitting at a table [SEP]
"A woman sits at a primary colored children's table, playing with building blocks, as two girls in pink dresses, and a boy in a red shirt surround her.",a group of children playing with blocks [SEP]
A dog is jumping over a series of colored gates.,a dog jumping over a hurdle in a competition [SEP]
A man with brown hair and a green shirt is playing a trumpet.,a man playing a trumpet [SEP]
A man wearing a green t-shirt sits with his legs on a ledge and talks on the phone.,a man wearing a green shirt [SEP]
A group of colorful children in a room with a green carpet on the maroon floors.,a group of children sitting on the floor [SEP]
A black boy in orange and white trucks on playing in the sand.,a boy on the beach [SEP]
Two dogs are fighting over a toy and another dog is chasing them.,a dog and a dog are in a field [SEP]
A group of people sit near a large red brick building in the grass.,a group of people sitting on a grassy field [SEP]
"The two dogs, one of which is leaping in the air, are chasing a ball outdoors.",a dog catching a frur [SEP]
A smiling child wearing a white t-shirt with stripes and skull and crossbones is swinging.,a little boy on a swing [SEP]
"An adult couple is talking with a younger girl, and they are all smiling.",a man and two women playing a video game [SEP]
An Asian man is cooking several meat on a stick.,man wearing a white shirt [SEP]
A brown dog waits for the Frisbee to come down before catching it.,a dog catching a frur [SEP]
A band performing on stage while the crowd observes with there hands in the air.,a crowd of people [SEP]
A young boy standing in the sand next to a sculpture of a pyramid that made out of the sand.,a boy walking in the sand [SEP]
Three little children in a grassy yard running towards the camera.,two children playing in the grass [SEP]
"White man with a green shirt and denim pants with a hammer and chisel, creating some sort of artwork.",a man working on a sculpture [SEP]
A mountain biker makes his way up a grassy path on his red bicycle.,a man riding a bike [SEP]
A dark-haired boy carrying a small hoe leaps across a narrow ditch while wearing rain boots.,a young boy running on a dirt field [SEP]
Woman in orange jacket is sitting crossed legged on a bench while woman in blue is leaning against the glass.,a group of people [SEP]
The man is standing on the white wall in front of the building.,a concrete building [SEP]
A practicing martial artist is photographed in mid leap slicing through bamboo with his sword.,a man is doing a trick [SEP]
An older woman in a red blouse standing in front of her wares.,a woman sitting on a bench [SEP]
Sports team on a field wearing yellow jerseys with a goal net to the right.,a soccer game [SEP]
A child wearing a blue shirt is jumping in the air.,a boy jumping in the air [SEP]
A person in a yellow top and green shorts stands in a field by a soccer goal.,a soccer field [SEP]
A group of young people take shots in a Mexican setting.,a group of people sitting at a table with drinks [SEP]
The boy in the yellow shirt is riding a skateboard along a red bar.,a man on a skateboard [SEP]
A little boy jumps off of a bunk bed onto another bed.,a boy jumping in the air [SEP]
"Two odd statue like costumes are being worn in a street, they are surrounded by others at what appears to be a festival.",a blue sky with white clouds [SEP]
Man running wearing a blue shirt with a number taped to it.,a man running down a street [SEP]
While working a woman makes a peace sign and smiles so big it makes her eyes close.,a woman is smiling [SEP]
